,BIDU,LULU,UL,RDS/A,RY,NVS,CP,GOLD,GIB,NGG,GOOGL,HD,WMT,VLO,JPM,JNJ,BA,DWDP,INTC,NEE,HYG ,CELG ,MNST ,VRML ,EA ,PGF ,EMB ,MDLZ ,LMT ,AMD 
Avg,-0.00325197,0.012075558,0.002036845,-0.002387691,-0.000979785,-0.000932523,-0.000477565,0.000501601,0.005696087,-0.006075852,0.006189951,0.009609741,0.000551765,0.006664435,0.006417548,0.002942116,0.012947164,0.001799628,0.008248813,0.009330633,-0.003557997,-0.006166039,0.010925951,-0.021917392,0.01892632,-0.0006647,-0.002387337,-0.001002402,0.007269351,0.034974792
SD,0.099280692,0.108110346,0.050788607,0.057628855,0.052548482,0.046006391,0.062703794,0.144582167,0.055497003,0.046756844,0.059512501,0.053312102,0.053544376,0.081409597,0.057517735,0.040549849,0.067995853,0.065283645,0.061131591,0.043114819,0.016650334,0.092511483,0.091210046,0.200333545,0.09325175,0.016210235,0.019652182,0.051293968,0.052517905,0.172962426
