,BIDU,LULU,UL,RDS/A,RY,NVS,CP,GOLD,GIB,NGG,GOOGL,HD,WMT,VLO,JPM,JNJ,BA,DWDP,INTC,NEE
Avg,-0.00325197,0.012075558,0.002036845,-0.002387691,-0.000979785,-0.000932523,-0.000477565,0.000501601,0.005696087,-0.006075852,0.006189951,0.009609741,0.000551765,0.006664435,0.006417548,0.002942116,0.012947164,0.001799628,0.008248813,0.009330633
SD,0.099280692,0.108110346,0.050788607,0.057628855,0.052548482,0.046006391,0.062703794,0.144582167,0.055497003,0.046756844,0.059512501,0.053312102,0.053544376,0.081409597,0.057517735,0.040549849,0.067995853,0.065283645,0.061131591,0.043114819
